"","dataset$id[!is.na(dataset$id)]","Obrashenie","cluster"
"42","45","С точки зрения корректной визуализации данной стратегии, было бы правильнее, если бы планы были написаны не в будущем времени, как это имеет место, а в настоящем, тем более что много, что описано в планах на будущее уже есть, либо делается в настоящее время. Например: Алматы является инклюзивным, человеко-центричным городом с равными возможностями для всех, где каждый может осуществить свою ""алматинскую мечту"".
Любой активный гражданин имеет возможность получить доступное жильё и набор базовых услуг.... и т.д.",3
"43","46","Здравствуйте уважаемый Бахытжан Адирович и команда, которая проявила инициативу выставить на обсуждение столь важные для жителей города вопросы.
Хотелось отметить, что без развития не только окраин, но и других районов страны, одними усилиями развития города Алматы изменить ситуацию будет очень сложно. Люди готовы ехать в Алматы ради заработка в 40-60 тысяч тенге из деревень, тратя львиную долю заработка на дорогу, о чём это говорит? Где то там за городом существует огромный кластер испытывающий нехватку в рабочих местах. Эти люди готовы тратить по 4 часа в день минимум, ради того, чтобы заработать 40-60 тысяч тенге.
К чему это приводит?
1. Люди имеющие хоть какую машину едут в город, увеличивая нагрузку на дорогах, загрязняя воздух, повышая аварийность (так как машины в большинстве случаев старые, о сервисном обслуживании и речи быть не может), само собой культура на дорогах также страдает, так в сельской местности вполне могут себе позволить ездить и на красный сигнал светофора.
2. Люди без личного автотранспорта, как Вы уже догадались, пользуются общественным транспортом, повышая нагрузку, большое скопление людей в автобусе приводит к росту числа карманных грабежей, конфликты между гражданами не редкость.
3. Эти же люди не защищены, не потому, что Законы не действуют, а потому, что просто не могут себя защитить в различных ситуациях. Простой пример, когда рабочую силу используют и не выплачивают заработную плату. Используют в рабских условиях, и одному Богу известно с какими ещё трудностями они сталкиваются приезжая к нам в Алматы. Это приводит к росту взяточничества, коррупции, посредничеству (помогайки) и другим последствиям.
4. Из третьего вытекает данный пункт. Обозленные, обманутые, голодные сограждане, вынуждены переходить грань закона. Совершать грабежи, разбои, кражи и т.д. Недавно у на украли телефон, Я не виню преступника, хоть задержать можно было в течение пары часов, если бы полиция работала, но и полицию не виню, так как уверен таких краж в день соврешается сотни, если не тысячи.
Считаю, причинно-следственная связь ярко выражена и затрагивает практически каждый пункт ""вызовов"" отмеченных в Стратегии.
Критиковать легко, но что делать и можно ли, что-либо сделать вообще?
1. Стратегия развития города реальна, но когда речь касается городов Республиканского значения, необходимо совместная работа, как минимум на уровне области.
2. Мне известно строительство города спутника (Gate city), считаю отличное решение некоторых проблем. Возможно стоит больше внимания уделить открытию новых производств вокруг города, акцентирую внимание, на то, что не развитие экономических и финансовых секторов, которые не выйдут из города без дополнительных бонусов и т.д., а именно производств с инфраструктурой. Данному пункту соответствует идея ""Город без окраин"", в этой связи прошу уделить больше внимания открытию в этих частях институтов, возможно стоит пригласить некоторые институты и использовать их в качестве инвесторов. Например в стороне Капчагая у нас прекрасные фермы и сельхоз земли, может Аграрный университет мог бы занять эту нишу, тем самым обеспечивая ближайшее население работой (обслуживание), образованием и даже предоставляя места для бизнеса? 
3. Городской автотранспорт следует полностью передать в муниципалитет, но отдав междугороднюю связь частным компаниям. Таким образом возрастёт роль Автобусных станций (Сайран, Саяхат, Уш коныр), а они в свою очередь обеспечат рабочими местами жителей пригорода.
Причина по которой стоит передать городские автобусы в муниципалитет просты, это стратегическая инфраструктура, с огромной доходностью и когда частные компании сидят на субсидиях государства заявляя, что реальная стоимость поездки пассажира 250 тенге, это смехотворно. В Европе нет таких цен, пропорционально доходам их населения. Это говорит о чём? Частники скрывают реальный доход и зарабатывают как за счёт государства, так и за счёт населения. Как проверить? Отправьте человека с камерой сесть на конечной 16, 25, 45, 120 и других маршрутов и доехать до конечной с 6 утра, до 10 утра, после с 12 до 15, дальше с 17.00 до 21.00. 
4. Население многих районов города не готова к выходу из КСК (юридически грамотных мало), Я вижу в этом только плюсы, мои соседи боятся и таких много. Как быть? Вместе с нововведениями оставить и КСК, но повысить контроль за средствами. Это также стратегическое направление, граждане за коммунальные услуги в сезон платят от 20 тысяч тенге в месяц за 30-40 квадрат и это в квартирах ещё советского периода, а в ЖК цены баснословные. В обход бюджета текут миллиарды.
5. Развитие МСБ, государство оказывает большую поддержку как юридическую, так и финансовую, но с момента дорожной карты бизнеса Я до сих пор вижу людей, которые о ней и не слышали. Хорошо, всем известно, что у нас фэйковые рассылки расходятся быстрее, чем позитивные новости от государства, многие о них узнают в последний момент.
Как помочь бизнесу? Именно сейчас пока действует освобождение от налогов, налоговые амнистии и т.д. стоит взяться за правовую основу. А именно. Большие проблемы у бизнеса с коммерческими площадями, основные площадки это ТРЦ, ТРК, БЦ и рынки. Но помогите людям, введите упрощенную процедуру выведения квартир из жилого фонда в коммерческую , которая бы касалась: а) первых этажей, б) не затрагивала снос стен, за исключением создания отдельной входной группы. Что это даст городу? Тысячи квадратных метров арендной площади, налоги с аренды, налоги с бизнеса, увеличение рабочих места, либо самозанятое население, если обязать бизнес обеспечить чистоту прилегающей территории, безопаность (видеонаблюдение), город получит дополнительную безопасность без затрат средств бюджета на покупку камер и сможет направить их дальше.
С уважением и с надеждой на светлое будущее.",3
"44","47","Для достижения равенства территорий необходим утвержденный генеральный план развития города. генеральным планом должны быть решены все технические условия с учетом перспективы развития на 30 лет,в первую очередь определить источники для централизованного хозяйственно_ питьевого назначения, гарантированного качества с утвержденными ГКЗ запасами, решить общий тип водоснабжения для всего города( открытый, закрытый, холодное и горячее водоснабжение, отопление; Учитывая состав грунтов и гидрогеологические характеристики грунтов все объекты должны быть включены в единую канализационную сеть со сбором на централизованные сооружения полной механической и биологической очистки, решить вопрос с городским накопителем сточных вод озером Сорбулак и утилизацией стоков(в архивах имеется много готовых, разработанных оптимальных вариантов);сбор, удаление и утилизация твердых бытовых отбросов;направления развития городской инфраструктуры (по генеральному плану 1981 года, развитие предусматривалось исключительно в северном напрвлении с включением Бурундая и всех мелких населенных пунктов); четкое зонирование территории  на жилую, деловую,промышленную, хозяйственную с распределением на все хозяйства обслуживающие город(пассажирский,грузовой,специализированный и пр.транспорт, ремонтно строительные,эксплуатационные дорожно-транспортная инфраструктура;энерго снабжение (электричество, газ) и далее по СНиП 2.07.01-89 Градостроительство, со всеми дополнениями по территориям. Учитывая природно климатические особенности территории города необходимо прекратить застройку территорий выше проспекта Аль Фараби, ликвидировать под акт,  все возведенные в заповедных и санитарно-защитных зонах источников централизованного водоснабжения,рек, археологических и пр. строения любых форм собственности. Возможные для существования объекты жилищного или гражданского строительства должны быть подключены к централизованным системам города водоснабжения, канализации, теппло,газо и пр. без вариантов. Владельцы оставшихся в предгорной зоне объектов обязаны будут платить повышенные налоги, компенсирующие адекватные расходы на рекультивацию,восстановление и озеленение особо-охраняемых территорий. Весь городской транспорт должен работать на электрическом приводе, ограниченное количество на газе, частный транспорт исключительно перевести на газ. Все имеющиеся коммуникации подлежат замене с учетом перспективы развития города и учетом удобства технического обслуживания и ремонта, без создания искусственных ограничений для транспорта и жизнедеятельности города, по выгодной для города и бюджета форме. Для сохранения и восполнения природных ресурсов, все предгорные и альпийские зоны должны  быть преобразованы в лесо-парковые зоны, с хвойными и садовыми культурами. Для ограничения миграции и кризиса, временно запретить  въезд и регистрацию для проживания иногородних, до обеспечения нуждающихся в жилье или его улучшения коренных алмаатинцев, прописанных и проживающих в городе более 1- лет и решения всех вышеизложенных предложений.Социальное неравенство и всевозможные риски исчезнут при строгом исполнении действующего законодательства и профессиональной организации управления городскими инфраструктурами. В первую очередь необходимо решать потребности официально работающих, коренных жителей города(далее аборигенов). Все вопросы развития, эксплуатации, реформирования, финансирования, администрирования осуществлять через изучение мнения аборигенов города. Все угрозы безопасности должны решаться  в полном соответствии с действующим государственным трудовым законодательством, профессиональными специалистами, выбранными алма-атинцами из числа аборигенов. Сохранения умственного, профессионального и культурного капитала города отпадет при исполнении предыдущих предложений. Зкономическое развитие города смогут обеспечить только работающие  аборигены. Нельзя превращать город в банк для вложения капитала иногородними, если есть такие упорные желающие, пусть полностью несут ответственность за здоровье и развитие города(примеров, как Англия, Австрия, Испания и прочие офшоры, много). Все дальнейшие перспективы будут решаться в рабочем порядке,горожанами высокой, гражданской и профессиональной культуры, любящих и желающих оставить свой родной дом (Алма-Ата)своим детям и внукам.",3
"45","48","Решите вопрос с остановкой казгу на ул.Тимирязева. Живу на маркова попова, каждый день стою в пробке из за студентов, хотя есть подземный переход. Они не на остановку идут, а переходят дорогу. Надеюсь этот не обдуманый проект, решат до 2050 года",3
"46","49","Доброе время суток.Для начала прощу сделать 80 на рыскулова так как она попадает под Бакад.2 прошу поставьте на Тимирязева пешеходные светофоры это разгрузит эту улицу так как там пешеходы и создают пробки.Прошу в Алматинской облости сделать надземные пешоды не дорогие хотя бы простые это спасло бы много людей.Всем спасибо всем добра и успехов в работе Народ и есть государство",3
"47","50","1.В торговых центрах,в парках должны быть свои неординарные интересные скамейки.
2. Ниже ул Толеби расмотреть стройку высоток.",4
"48","51","Юг-Север
Улица Сейфуллина (самая длинная в этом направлении) до сих пор не имеет скоростного общественного транспорта. Необходимо хотя бы выделенные полосы, а ещё лучше - БРТ, а ещё лучше - ЛРТ. (но пока хотя бы БРТ).То же самое касается и улиц Ауэзова и Жарокова. 

Запад - Восток
Скоростной общественный транспорт идёт вдоль Абая (метро и выделенные полосы для автобусов) и намечается строительство ЛРТ вдоль Толе би. Однако, между этими улицами огромное расстояние. Было бы хорошо, если бы БРТ или ЛРТ появилось на улице Кабанбай батыра, которая расположена посередине между этими двумя улицами. В данный момент ул. Кабанбай батыра упирается в бывший кинотеатр Целинный, но это здание давно пустует. Если его снести то БРТ можно продлить вплоть до улицы Розыбакиева и даже до озера Сайран. 
Таким образом, если реализовать эти проекты, то в городе появится сетка из общественного городского транспорта, и тогда автомобили во многом потеряют свою актуальность, что скажется и на экологии.  
",3
"49","52","1.При разработке плановых значении показателей стратегии развития ""Алматы -2050"", учитывать потенциальные и текущие риски, препятствующих их качественной реализации.
В отчета о реализации Стратегий развития ""Алматы-2015"" предлагаю указывать информацию о влиянии не достижения ее показателей на социально-экономическую, общественно-политическую ситуацию в регионе, а также в полной мере раскрывать причины не достижения индикаторов.
2. Отдельного внимания заслуживает качество отчетной информации. 
Не секрет, чтобы показать хорошую отчетность (либо страха боязни своей работы), государственные органы могут завысить себе фактические значение по реализации показателя, то есть предоставляется недостоверная информация. Получается,что ""на бумаге у нас все хорошо"", а  в реальности проблема той или иной сферы/отрасли/района/отдельных групп населения не решена или решена частично. 
В этой связи, Акимату предлагается при формирований отчета (картальный, полгудовой, годовой и т.д.) размещать все подтверждающие документы на сайте Акимата.  Это повлияет на объективность отчетной информации и снизит риски по искажению информации.
При этом за не достоверность информации, представленной в отчете о реализации Стратегии следует ввести дисциплинарную ответственность только первых руководителей (руководитель управления или курирующий зам. Акима). 
""Я думаю лучше показать достоверную информацию и пытаться ее решить, чем искажать ее; это может привести к снижению качества жизни населения, и социальной напряженность в обществе"".",3
"50","53","Предлагаю сделать в первую очередь единую службу (убрать все остальные) принимающую жалобы как в устной так и в письменной форме на все службы города Алматы. Пример: Чтобы было куда позвонить (и телефон работал) и можно было сказать что автобусы маршрут № 38 ходят раз в 50 минут. 
Реальное: Или пожаловать на не качественный ремонт дороги и бездействие по этому поводу Ауэзовского акимата. Это реальный случай.",3
"51","54","Прошу привести источник в рисунке, где приводится сравнение способов передвижения в разных городах мира. В частности, смутили цифры по Лондону. По опыту пребывания там у меня сложилось ощущение, что общественном транспортом пользуется приблизительно также, как и в г. New York.",4
"52","55","У многих граждан Казахстана есть привычка плевать на асфальт. Однажды перед автоЦОНом я видел огромное количество плевков и видел как иностранцы (кажется турки) проходя мимо, брезгливо реагировали на это. Когда наконец полиция будет ловить тех, кто плюёт на асфальт? Когда в городе появятся билблорды объясняющие, что плевать на асфальт не хорошо? Перед иностранцами неудобно.",3
"53","56","Я прочитала стратегию. На бумажке, все как всегда красиво, можно сказать, описание утопии. По всем направлениям хотелось бы увидеть конкретный план мероприятий. Мое предложение, установить фильтры для ТЭЦ и крупных загрязняющих воздух заводов. Использование более очищенного топлива, типа Евростандарт. Начиная с садика и школ, ввести обязательный предмет по устойчивому развитию. Находить альтернативные источники энергии, солнечные батареи и ветростанции. Установить очистные сооружения для повторного использования бытовых вод. Тщательно изучить мировой опыт, тесно сотрудничать с НПО. Знаю, на словах все просто. Но для такой стратегии нужен конкретный план мероприятий по каждому пункту. Только так можно воплотить цели и увидеть эффект.",3
"54","57","Пункт ""Прочее"" занимает самое большое место, как опредилили его процентаж? Я считаю этот расчет некорректным, так как невозможно узнать по Вашей жиаграмме реальный объем пункта ""прочее"", считаю надо его доработать и максимально описать подетально. А так реально большой объем диаграммы уходит в неопределенку.",3
"55","58","Постройте, пожалуйста, парк на месте квадрата улиц Навои – Рыскулбекова – Щепкина – Торайгырова. Там сейчас частный сектор, но будет застроен многоэтажным строительством. В той части города не хватает парков, а многоэтажных домов там и так полно. (ЖК Шахристан и др.) Я уже обращался с этим предложением, но мне ответили, что согласно Генплану, там предусмотрено многоэтажное жильё. Возможно ли внести корректировку в генплан? Если там построят многоэтажные дома, то это крайне негативным образом скажется на итак перегруженных узких улочках Навои и Рыскулбекова.",3
"56","59","Целей и задач поставлено много и это радует. Но! Я думаю все это неосуществимо с существующей системой управления городом, на местах работают не профессионалы, которые не понимают что делают, городские службы не связаны друг с другом. Все сейчас делается для показухи в соц сетях.",3
"57","60","Категорически запретить строительство высотных домов по обе стороны проспекта Альфараби. Они перекрывают потоки воздуха со стороны гор!!! Такое поручение было предыдущим акимом города, но опять таки строят (компания Базис и др.)!!!!
Наладить работу арыков, которые орашали деревья вдоль улиц. Это вроде пытались наладить, но вода была только некоторое время ?!",3
"58","61","Здравствуйте, неоднократно писали в Акимат Ауэзовского района,о просьбе и предложении 
По адресу 1 микрорайон между домами 22, 24, детским садом, гимназий 111, есть заброшенный сквер, со слов работников Акимата земля не принадлежит КСК???!!! значит принадлежит городу, в связи с большим количеством заведений на этой небольшой территории, это СДЮШОР, СШ 97, Гимназия 111, Детский Сад, бассейн для маленьких, еще и Авто Цон!!!!люди приезжающие в течении дня ставят машины в этом сквере, бросают мусор, занимаются ремонтом своих машин, переезжают через бардюр растаскивая грязь по асфальту и проезжая внутри домов, отсутствие освещения ночами привлекает наркоманов и парочки, что оставляет после себя тоже последствия!!! Наше предложение оформить сквер надлежащим образом, т.е огородить посадить новые деревья, поставить освещение, поставить лавочки
спасибо жители микрорайон 1, 24 дом",3
"59","62","Большинство показателей ""Стратегии развития города Алматы-2050"" основываются на  региональных ведомственных данных государственных органов, то есть используются только те показатели, по которым Акимат г.Алматы (далее - Акимат) уже формируют отчетность.Однако, такие показатели ни в полной мере отражают качество жизни населения, и больше удобны для самого Акимата. Т.о., такие показатели скорее служат средством для сбора статистической информации.
В этой связи, предлагается включить показатели, полноценно отражающих качество жизни населения города Алматы и выработать подходы по формированию отчетности. Предлагаемый перечень показателей:
1. Коэффициент дифференциации доходов населения (Устанавливают размер превышения денежных доходов высокодоходных групп по сравнению с низкодоходными группами населения).
2. Доля населения с денежными доходами ниже региональной величины среднемесячной заработной платы.
3. Снижение потребности  в медицинских кадрах по остродефицитным специальностям.
4. Увеличение доли врачей в государственных организациях здравоохранения, повысивших квалификацию в ведущих зарубежных странах.
5. Своевременность постановки на учет беременных (Число женщин, взятых на учет до 12 нед. беременности / Общее число женщин, состоявших на учете по беременности и родам) х 100%).
6. Снижение искаженности статистических показателей материнской и младенческой смертности местными исполнительными органами посредством проведения конфиденциального аудита материнской и младенческой смертности.
7. Доля трудоустроенных лиц с ограниченными возможностями, из числа обратившихся в центры занятости населения.
8. Доля лиц с ограниченными возможностями, систематически занимающихся физической культурой и спортом, в общей численности данной категории населения.
9. Доля современных автобусных остановок, 
- оснащенных кондиционером и отоплением
- оборудованных для нужд инвалидов.
10. Доля лиц, состоящих под административным надзором, совершивших преступления.
11. Сокращение времени реагирования на звонки, сообщения о преступлениях и уголовных проступках, происшествиях
12. Увеличение доли перспективных земельных участков, на которых планируется или осуществляется жилищное строительство и в отношении которых разработаны планы освоения и обеспечения инженерной инфраструктурой
13. Доля населения имеющего собственное жильё.
14. Доля городского населения, проживающего на территориях со средним и очень высоким загрязнением воздуха.
15. Деревья, высаженные взамен утраченных на 1 кв.м. площади деревьев.
16. Количество детских садов на общую численность населения (в том числе для детей до 3 лет).
По сути, по данным показателям Акимат формирует информацию, необходимо лишь регламентировать сбор отчетности по ним.
Кроме того, хороший показатель всегда соответствует следующим пяти стандартам:
- Индикатор необходим и полезен;
- Показатель имеет технические достоинства;
- Индикатор полностью определен;
- Измеримость показателя;
- Индикатор был протестирован либо использован в оперативном режиме.
При организации соответствующих работ по разработке индикаторов Акимату следует принимать во внимание, что индикатор должен быть сфокусирован на решении одного вопроса и  содержать необходимую и соответствующую информацию о ситуации. В частности информацию, которая обеспечивает стратегическое понимание, необходимое для эффективного планирования и принятия обоснованных и своевременных решений.
Вместе с тем, в процессе сбора данных для индикаторов стратегии ""Алматы-2050"" всегда необходимо обращать внимание на три фактора, которые оказывают прямое влияние на достоверность данных: обоснованность, надежность и погрешность.
1. Обоснованность. В какой степени расчет по индикатору замеряет именно то, что предназначено для измерения.
2. Надежность. Согласованность данных при их неоднократном сборе с использованием тех же процедур и при тех же условиях.
3. Погрешность (смещение). Любой эффект возникающий при сборе или интерпретации данных, приводящий к систематической ошибке в одном направлении.
",3
"60","63","У Вас на 34 странице презентации: ""Обеспечение эффективной городской мобильности"" указана схема развития общественного транспорта. Возможно ли его увидеть более подробно с указанием наименования улиц? Также хотел бы уточнить: ""Предлагаемая линия метро"" это не утвержденная и подлежащее обсуждению?",4
"61","64","Здравствуйте,

уважаемые сотрудники акимата нашего зеленого города Алматы.

Спасибо вам за вашу работу. На улицах нашего города я часто замечаю молодые деревья, высаженные заботливыми руками. Красивых газонов тоже немало. Прекрасных деревьев и кустарников в Алматы должно с каждым годом становиться больше и больше. Озеленение очень важно не только с эстетической точки зрения, но и с экологической. Летом, в сильную жару, гораздо приятнее и безопаснее находиться в тени деревьев, нежели на раскалённом асфальте под палящим солнцем.

Прошу вас принять к рассмотрению пять уже давно назревших вопросов:

1.	Озеленение палисадников многоэтажных домов. Палисадники возле наших жилых домов выглядят просто убого. Крайне редко кто-либо из жильцов ухаживает за ними. Деревья часто больны и не обрезались десятилетиями. В них много сломанных и высохших ветвей. Кустов часто нет, как и цветов. Ничего не поливается. Травы нет. Грунт неплодороден и нередко является просто строительным мусором. Часто в палисадниках паркуются автомобили. С северной стороны дома №288 по улице Жарокова, где живут мои родители, прямо под балконом стоят автомобили. Они пользуются тем, что бордюр со стороны дороги между домами низкий и просто переезжают через него. Я много раз просила председателя этого КСК «Родник» Султану Шенгелбаеву (телефон (87077111517) поставить здесь ограждение, чтобы защитить палисадник, а затем собственными силами привести его в порядок, но она не в состоянии решить этот вопрос. Нужно, чтобы городские власти разработали и внедрили общегородские правила благоустройства палисадников с готовыми типовыми проектами и указанием количества, размеров и видов саженцев, которые должны быть высажены. Возможно, что следует эти саженцы предоставлять КСК по пониженной цене, но с обязательным последующим уходом, поливом и так далее. Посадочный материал не должен быть просто воткнут в землю и забыт. За растениями необходимо ухаживать;

2.	Озеленение прилегающих территорий административных зданий. Многие здания, особенно новые, предпочитают всю прилегающую территорию покрывать асфальтом. Примеры: многоуровневая автостоянка ""Алмагуль"" по адресу дом №284 по улице Жарокова, здания №163А по улице Ауэзова, 61/1 по улице Маркова, №38/1 по улице Тимирязева и масса других. Мест для автомобилей должно быть как можно меньше, а деревьев, кустарников и травы – как можно больше. Это совершенно здоровая общемировая тенденция и нам незачем искать свой «особый» путь и наступать на «грабли» безудержной автомобилизации в десятый раз подряд;

3.	Озеленение пустырей и незаконных парковок автомобилей. В городе много пустырей, на которых ничего не построено и ничего не растет. Все они, как правило, превращаются в нелегальные парковки с полностью уничтоженной растительностью. Их необходимо огораживать столбиками и высаживать на них деревья, кусты и траву. Примеры: вся разделительная полоса улицы Дунаевского и её северная часть между улицами Жарокова и Гагарина, земля по бокам пешеходной дорожки между улицами Ходжанова (бывшая Ведозаборная) и Жарокова (проходит между заборами госпиталя МВД на улице Ходжанова, 17 и Горводоканала в Бостандыкском районе) разделительная полоса бульвара Бухар Жырау между улицами Ауэзова и Жарокова, участок земли к востоку от дома 34А в микрорайоне «Казахфильм», участок южнее дома 21 микрорайона «Коктем»-1 и масса других;

4.	Озеленение территорий промышленных предприятий. Почему в развитых странах территории промышленных баз, заводов, фабрик и складов похожи на парки отдыха, а у нас представляют собой заваленные отходами и залитые отработанным маслом площадки с покрытыми копотью безобразными бетонными коробками на них? Владельцы предприятий должны восстанавливать нарушенные земли и озеленять их. Это совсем не сложно – было бы желание. Городские власти должны их принуждать к этому. Но вместе с принуждением должно быть убеждение, помощь и поддержка. Только наказаниями порядка добиться не удастся;

5. Снос всех стальных, бетонных и кирпичных гаражей и сараев в нашем городе. Это наследие прошедшей эпохи выглядит безобразно и уродует наш город. Покупая машину, люди должны арендовать место на стоянке, а не пользоваться общественной землей для удовлетворения собственных нужд. Гаражам и сараям не место в приличном населенном пункте. На их месте должны расти красивые деревья, кустарники и трава. Чем больше растительности, тем лучше. Это требование современности. Почему контролирующие органы десятилетиями не могут принудить захватчиков городских земель к их освобождению?

С уважением,

Айжан Бекенова.",3
